title,url,amount,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7
Visual and interactive content for kids,http://newschallenge.tumblr.com/post/25605012332/visual-and-interactive-content-for-kids,,We are building a visual and interactive content site for kids. Think of this as an interactive Wikipedia for children.  , This site will enable kids to find information based on their curiosities and content will be presented in highly visual and interactive manner. The site is being designed to promote free education and learning for kids.  ,"Our site is focused on kids. The user experience, language and content will be focused on encouraging learning in children and will provide free information to various age groups.  ",Today there is no comprehensive website that provides a broad coverage of educational topics aimed at kids. Content and services designed for children need to align with their learning styles. Our deep experience in educational products and design will enable us to create experiences that will make learning fun for kids and will provide free supplementary content. Topics will be interlinked with each other to enable in-depth research and provide a learning path for users. Basic gamification will provide incentives to learn and share more.  ,"Our team consists of award winning designers and engineers that are passionate about education and user experience design. Our team leader – Rupa Chaturvedi has 15 years of industry experience in technology and design.  She runs a global design firm in San Francisco, www.raayadesign.com Prior to this she founded a successful e-Learning company in India that is now one of the top content firms in the world today. We intend to partner with a few media firms to provide the required content.  ","We are currently in the design and prototyping phase.  Our content is pretty much ready for the first phase; which will cover 100+ topics. We have also built several wireframes and tested them with users.  We need additional media such as graphics, videos and animations to create the rich learning experience we are aiming for.  ","Funds will be utilized mainly for creating and procuring kid friendly graphics and relevant media – animations/videos. We will also use part of funding for technical requirements such as: web hosting, required software and building specific features that our internal team may not have the expertise in.  ","We would seek additional funding and support through user-generated content as well as media partnerships. We intend to build the world’s largest repository of rich, interactive educational content.  "
K-Monitor Network Analysis and Government Data,http://newschallenge.tumblr.com/post/25604964325/k-monitor-network-analysis-and-government-data,90,Merge Social Network Analysis with Open Government Data to detect corrupt networks in decision-making processes.,Network analysis is used to detect different social phenomena but not to disclose political corruption. Our open-source tool will make it possible to analyze any “money and politics”-related dataset and to detect corrupt cliques by visualizing political and economic networks and applying social network analyzing methods for open data-sets.,"There are various data-sets on politicians, economic interests, tenders, subsidies and even possible conflicts of interest but no tools for investigating corrupt networks and barely any hard data on corruption.","Our tool will: - Visualize and cluster political and economic networks by SNA software and thus make data on decision-making understandable. - Filter relations by their sources (official gazettes, investigative articles, crowd-sourced info) and thus make data researchable.  - Track the following corruption-related phenomena by applying SNA methods: revolving door phenomenon, conflict of interest, information brokers, state capture, political and economic prestige, formal and informal power as well as the structural equivalence, density, age, complexity and other specifics of corrupt networks. We’ll thus make data actionable for investigation, research and advocacy. - Be standardized and open source and thus replicable.     ","K-Monitor, one of Hungary’s major anti-corruption NGOs promotes the transparency of public spending. We operate open data websites, conduct researches and advocate for legal reform. We have an extended knowledge on corruption mixed with a deep understanding of technology and open data. The project will be implemented with several coders, corruption researchers and investigative journalists. Major advisor will be Sunlight Foundation, a well-known US-based NGO that uses the power of the Internet to catalyze greater government openness and transparency.","The “Network” database (planned launch in September), an open source project of K-Monitor which discloses personal and business connections between Hungarian politicians and businesspeople through scraping data from investigative articles, company registry information, CVs and official gazettes on people (politicians, persons accused of corruption, richest businessmen and managers of companies receiving state funds), institutions (state institutions, local governments, parties, NGOs, private or state-owned companies receiving state funds, top 500 Hungarian companies, companies accused of corruption), transactions (public procurements, EU subsidies and agricultural subsidies), interpersonal, inter-organizational and person/organization relations. An elaborated methodology to detect corrupt networks by SNA methods.","  Funding will be used to create an open-source tool for detecting corrupt cliques in decision-making, a sophisticated search engine to filter among various data sources, a network visualization tool to display information in a comprehensible way and to make it possible to embed network graphics in investigative articles.  ","After the development, the tool will be open source and replicable. The new platform will be integrated into K-Monitor’s already existing databases and will require only basic management, upgrade and communication activities which will be covered by the institutional funding of the organization."
Patchwork WNYC,http://newschallenge.tumblr.com/post/25604034420/patchwork-wnyc,205000,"We will create a new, replicable model for utilizing Census and other data to tell important, underreported, stories about neighborhoods at community and city levels. ","Patchwork WNYC will use public data to categorize each NYC Census tract into one of twelve “community types,” or generalized groupings, based on findings in the data; for instance, tracts with strong/emerging immigrant populations might be categorized “immigrant enclaves.”  Users/journalists can then compare location-based data sets, like school closings, against community types to identify trends and tell stories about affected communities. ",Patchwork Nation’s categorization of every county in the U.S. led to years of interesting news stories.  Patchwork WNYC will apply this methodology at the city level for the first time.,"Patchwork Nation has proven that generalized demographic data – done accurately and intelligently – can illustrate complex stories about us as “Americans.”  WNYC is deeply knowledgeable about its home city, and can guide distillation of local demographic data in the same way.  We’ll leverage this expertise to make new discoveries about the community, tell insightful stories about the people who live here, and illuminate the complex dynamics of city life. Further, we’ll make it easy for anyone with location-based data set(s) to do the same filtering.  We’ll also intentionally build our project to be replicable in other communities; WDET, for one, has indicated interest in using this model in Detroit.","WNYC and Patchwork Nation will team up to lead the development, piloting, and sharing of this project.  Patchwork Nation has proven experience developing distinct data-based “community types.”  WNYC’s Data News team excels at analyzing data, using it to identify and support news stories, and communicating its implications to the public via interactive maps. Reporters will use the Patchwork WNYC framework to generate new stories.  For example, an education reporter, noticing that schools seem to be closing mostly in communities classified as “immigrant enclaves,” might set out to discover why. ","Patchwork Nation has already developed the robust mathematical basis for categorizing U.S. counties into national community types. Patchwork WNYC will use this methodology to create community types that are relevant for New York City. Moreover, WNYC regularly works with Patchwork Nation, and has a built-in use for the project in its award-winning newsroom.  WNYC also has the existing technical infrastructure and experience it needs to execute new data maps and share its methodology and framework with peers, colleagues, and other interested parties. ","  [50 words] News Challenge funds would be used to pilot Patchwork WNYC in New York City, including the collection of the raw data from the Census and other sources; the analysis of that data and its categorization into community types; development of the front-end interface and data maps; and reporting on news stories.  ","The most expensive aspects of the project are the front end data analysis, sorting/categorization, and web development/interface.  In New York, WNYC and Patchwork Nation will absorb the costs of updating the community groupings every two years with information from census surveys, elections, and economic measures."
The Detail: Data (Northern Ireland),http://newschallenge.tumblr.com/post/25603135332/the-detail-data-northern-ireland,340000,"We would be the data journalism centre of excellence for Northern Ireland, sharing our data content with other media outlets. .","We will build on our public interest data journalism to make complicated information accessible and meaningful in a post-conflict society, adjusting to accountable governance. This will create a strong interactive reference catalogue of important data. We will also provide versions of our stories for use in local news outlets.","The Detail is the only media outlet providing expert data journalism focused on Northern Ireland. Our online presence allows us to provide interactive data visualisation, in-depth analysis and context.","We already have a strong reputation for our investigations and know there is a need for data journalism expertise in Northern Ireland. Many other media outlets do not have the time or skills to handle large volumes of data and are keen to publish our pieces. Like ProPublica, we provide versions of our stories and graphics for national and local media and would like to expand this service with a wider range of data stories. The relatively new government in Northern Ireland needs to be subject to rigorous scrutiny and this is one way of ensuring this is done.","Our senior reporter Kathryn Torney is currently working on our data stories. Kathryn received training in data journalism at the Centre for Investigative Journalism at London’s City University last October. She was shortlisted and received an honorary mention in the first international Data Journalism Awards this year. We would like to use the funding to create a data reporting team, integrating it further into The Detail’s existing output of independent investigative news and current affairs by its team of award-winning journalists.","Our data stories are published on our investigative news website (www.thedetail.tv) and the coverage includes interactive maps, graphics, video interviews and written articles. ",We would use the funding to build a data hub where data journalism is a key element of our investigations. We would expand our team of data reporters and pay for programming and graphic design input. We would also offer data journalism training sessions to other Northern Ireland reporters.,We would look at other funding streams and would also consider advertising revenue and charging for our content. Being an established and respected data centre as a result of the Knight Foundation funding would greatly help with all of these possible future options.
Mobile Markers: Enhancing the Transparency of Calling Records Analysis To Support Policy Decision Making  ,http://newschallenge.tumblr.com/post/25602838836/mobile-markers-enhancing-the-transparency-of-calling,150000,Enhance transparency around the use of cellphone calling records to model social behaviors useful for institutions working for public good.,"Calling records’ analysis has been criticized for lack of transparency. We propose to build transparency-enhancing, privacy-preserving tools to help cellphone customers understand how their records are used and their potential impact on policy development. We expect that such transparency will encourage customers to donate their records for social good. ",We are the first telecommunications company to propose privacy-preserving tools that promote transparency in the analysis of calling records with the aim of helping institutions that work for social good.,"We have demonstrated that the calling records collected by telecommunications companies provide behavioral fingerprints like mobility or communication patterns that give a better understanding of how citizens across different socioeconomic levels interact with their environments. This information can aid decision makers in public and private institutions assess critical policy changes in areas like urban planning or global health. We believe that by engaging with cell phone customers and explaining in a transparent way the use of their anonymized records and its positive impact on policy decisions, we will be able to share both data and results with the community.","We are a team of researchers from Telefonica Research with a background in machine learning, security and big data. Our members hold academic degrees from prestigious institutions including Columbia University and UCLA. We have a large experience in the analysis of calling records collected by telecommunication companies and its application to policy issues in areas like urban planning, crisis management or global health. We also collaborate with United Nations Global Pulse and Telefonica Foundation to identify critical policy issues where anonymized calling records can provide complementary behavioral information.","We have built the analytical tools that use calling records to compute social behaviors relevant for policy decisions. Additionally, we have built policy tools in the areas of urban planning and global health that use calling records to help on decision making (see Figures). Both analytical and policy  tools will be useful to allow cellphone customers explore how their data is used and its potential applications in policy issues. We believe that this information will add transparency to the analysis and will encourage customers to share their anonymized data by selecting across different levels of privacy-enhanced calling records sharing. http://www.vanessafriasmartinez.org/images/fd04a1d0e0b693a0a912f99a644929bb_kabz.jpg",To fund software developers to code open-source tools that will allow customers to understand their data and decide how much they want to share. To run workshops at public and private institutions to show the power of the calling records and to engage them as beneficiary partners.,"We believe that organizations like the GSMA or telecommunication companies worldwide will be eager to support this project once we have shown that customers engage with the idea. In fact, these transparency-enhancing, privacy-preserving tools will improve the public image of the companies while contributing to the societies they benefit from."
Eco-Scape: virtual reflection of a landscape-in-transition,http://newschallenge.tumblr.com/post/25601017020/eco-scape-virtual-reflection-of-a,500000,Create a data-driven documentary about a landscape-in-transition. Sensor and mobile-apps feed a 3D virtual framework making complex ecological patterns accessible.,"The eco-scape combines many data streams (including synchronized audio) collected by many experts across a a large-scale river/wetland restoration site. The data populates a 3D spatial mesh shaped by the topological survey allowing on-line visitors explore complex ecological patterns across time/space, and contribute annotations and video observations.","Ecological restoration is criticized as ineffective short-term/piecemeal monitoring of siloed structures/functions (biological, physical) This novel learning framework presents evolving ecological complexity across diverse studies over time.","Success embraces public engagement with the physical landscape and an evolving virtual scientifically-informed portrait of place. Engagement is enhanced by the dramatic transformation of the wetlands restoration (2014), new public parkland and mobile apps for on-site visitor contributions. Technically the work builds on unique strengths/experience of the Responsive Environments and Object-Based Media Groups at the MIT Media Lab. Applicable work includes low-power sensor design, audio technologies, the DoppelLab 3-D virtual environment, and mobile apps designed with gestural interaction. The 3D environment will be based on existing topological survey data. Baseline data (including audio) collection has been ongoing since 2011.","Glorianna Davenport, Visiting Scientist, MIT Media Lab; founder, Living Observatory (2010). Joe Paradiso, Responsive Environments Group, MIT Media Lab: environmental sensing with synchronized audio; browsing environment. Michael Bove, Object Media Group, MIT Media Lab: mobile app for on-site public interaction; browsing environment. Alexander Hackman, Restoration Specialist, MA DFW Division of Ecological Restoration. Hyun Yeul Lee, Boston University: Information architect, Documentary Mapper. Susan Robinson, Georgia Tech: mobile video app “WhyPoll”. David Boutt, University of Massachusetts, Amherst: hydrology, geo-physics. Also: NOAA, Interfluve, Inc., Manomet Center for Conservation Science, Mass Audubon, Salicicola.com, US Fish and Wildlife Service, USDA NRCS Wetlands Reserve Program.","Living Observatory/Tidmarsh Farms have developed a broad base of partnerships with agencies, NGO’s and universities (see above). Restoration design is 15% complete; data is beginning to accumulate (topography, historical maps, rainfall, stream-flow and ground-water levels, sediment, water temperature and chemistry, bird and insect counts, a plant database, audio of different habitats, video commentary by local abutters, officials, scientists, wildlife images). Two apps are in prototype: Documentary Mapper (Lee), an app that integrates photos from a GPS enabled phone with a google map; Video Polling (Robinson), an app that allows on- site visitors to contribute insights and opinions on video.","Funding covers development over 2 years including: robust sensors with synchronized audio, a 3-D data-driven documentary framework, mobile apps that enhance visitor experience in the physical and virtual sites. Funding will support: 2 PhDs, Graphic Artist, 2 undergraduate researchers, required materials, supplies & manufacture of sensor boards.",The restored 250-acre nature preserve at Tidmarsh Farms will open to the public in 2015. LO is integral to our fundraising strategy for the restoration. Current partners are excited by this initiative (evidenced by 3 successful grant awards for restoration design) and will be helpful in future fundraising efforts.
Who’s Fighting Hunger?,http://newschallenge.tumblr.com/post/25600838636/whos-fighting-hunger,100000,Create a detailed database of advocacy programs which fight hunger and support food banks in the United States.,"It would allow advocates to: share contact and program data identify duplication of efforts and prevent silos provide transparency regarding results of food drives, backpack programs, etc. suggest partnerships and/or leverage social media identify common data shared by successful programs review outcomes and/or key metrics","It would provide a “big picture” of who’s is succeeding in which areas in the battle against hunger, allowing advocates to review the specifics of hundreds of programs in one place.","Organizations and individuals that fight hunger often come from fields as diverse as government, religion, non-profit, technology, public health, agriculture, and business - they need their own database to help them find and support their fellow advocates. The advocate database will provide reliable one-stop-shop for hunger fighter information, covering: Location, Audience, Type (Nonprofit, Government, Individual, Corporate, Religious) Sponsors Activities (Food Drive Events, Walks/Marathons,  Summer Feeding/ Backpack Programs, Coupons, Awareness, Gleaning, Urban Gardening) Online Presence (Twitter, Facebook, Blog, Website) Tools Used (including Open Source projects available for reuse) Social Media Efforts Contacts Outcomes and more","A technical business analyst and certified usability analyst with training in database design and management plus experience as a Program Manager, who respects the role technology can play in addressing social issues. I independently built a pro bono website in 2007 incorporating Google maps, helping people access local food pantries in my community. This led me to become actively involved in the online hunger fighting community. In 2010 I contracted with the Clark County Food Bank to successfully manage their four million dollar capital program for the construction of a new food distribution center which opened in 2012.","I have followed and admired the work of hunger advocates over the past several years, and have created a proof of concept spreadsheet which captures a sampling of the diversity of advocate programs: from Canstruction to Ample Harvest; Stamp Out Hunger to Boobs4Food. Advocates, some who are devoted to exploring innovative ideas like urban gardening, and some who have been committed for decades to managing food drives, all provide vital support to often overwhelmed food banks, food pantries and shelters working to end hunger in America.",The majority of the funds would be used to pay myself a salary in order to work full time on this project: building and optimizing an open source searchable database; creating custom views and reporting tools; and using social media to publicize the available data.,"I have worked in software for several years and will document the open source tools and methods used, as well as the update and maintenance process. I will also encourage members of the hunger advocacy community to contribute and to train volunteer co-managers when the database is launched."
Everything Education,http://newschallenge.tumblr.com/post/25600639409/everything-education,250000,"I propose creating an education Website/database that provides the most comprehensive, usable information available today to facilitate education reporting.","My project will bring together information from all 50 states and abroad regarding education in terms of standards, programs, literacy rates, graduation rates, and STEM proficiencies (science, technology, engineering, and math)—among other areas.  All this in-depth information will be located in one place at one time in a one-stop-surf-resource-experience so currently hard-to-find and difficult-to-compile education data is finally at the fingertips of journalists and immediately accessible to the community.","No other resource of this kind exists anywhere.  My site/database will also host a captivating, nuts-and-bolts virtual classroom and will link to other invaluable virtual classrooms. ","It will work because the reach will be so vast and the need is so great for such a resource, particularly given the state of public education today.  Currently, one in four American high school students drops out.  One in three U.S. teenage girls becomes pregnant.  The college drop-out rate is abysmal in America.  And there is a terrible mismatch and disconnect between what is taught in U.S. schools and what is actually needed vocationally and occupationally in our global marketplace.  My site will provide answers and solutions to these alarming trends.","No one is working on compiling education data at the micro and macro levels I am proposing.  That’s why you must support this critical and crucial project. I have the background and expertise needed to gather the right team together to make this project a reality. In 1983, a report entitled“A Nation at Risk”shocked many people when it took aim at deficiencies in the U.S. public school system and reported, “if an unfriendly foreign power had imposed our schools upon us, we would have regarded it as an act of war.”  Journalists report the negative and spiraling trends in education, but are often at a loss to explain why education is in such decline.  My site will be data-driven, will be a reservoir of information, and will get to the heart of the matter.","I have formed an education reform organization with a colleague.  I have also founded a NGO—Society for Education Excellence—and I write a weekly, data-driven e-newsletter to share data and information with the community.",I will use the funds to put the best team in place to build the site and database.  I can handle maintaining it from there.,"I will sustain the project with my tremendous expertise, passion, conviction, and dedication to informing the public of education trends and developments.  I will also seek support via crowdsourcing tactics.  I have a knack for attracting a global audience."
Crowd-Mapping Chicago Industries,http://newschallenge.tumblr.com/post/25600480857/crowd-mapping-chicago-industries,90000, [20 words] Give residents and businesses real-time access to local supply chain data to contribute to the Chicago Sustainable Industries Initiative (https://www.cityofchicago.org/city/en/depts/dcd/supp_info/chicago_sustainableindustries.html).,"Industries leave Chicago when they cannot find land, reach customers, or access basic infrastructure such as viaducts with truck clearance. This platform gathers industrial and supply chain data from businesses, residents and real estate brokers to help the city develop infrastructure and promote local and international trade (http://blog.sourcemap.com/about/knight/ ).","This is the first platform built for a city to crowdsource supply chain data from its own industries and use it to inform infrastructure, sustainability, and economic development.","This proposal follows three months’ research to identify the problem (cities lack information on their own manufacturers); find incentives (businesses want to find local suppliers and be found by local customers); and engage key stakeholders (the City of Chicago and World Business Chicago). Seed data for the project will come from WBC’s Site Selector; by the City through data.cityofchicago.org ; and by the Chicago Sustainable Industries (CSI) initiative, which is compiling a directory of jobs, products, and contacts. Sourcemap will augment the data with real-time information crowdsourced from stakeholders to understand the supply and distribution needs of businesses and the city.","Sourcemap.com will build an online business directory and supply chain analytics tools for project stakeholders. Searchable online maps of Chicago industries will be embedded on CSI websites to help local businesses gain visibility and find nearby suppliers/customers. Businesses will claim their profiles to provide up-to-date information on the products they buy and sell. Commercial real estate agents will contribute data on industrial parcels being bought and sold. All data will be available through an open web API. Project stakeholders will have access to a data analysis dashboard to find opportunities for localizing supply chains, improving infrastructure and reducing environmental impact.","Sourcemap has built embeddable online business directories, a business supply chain reporting platform, and a supply chain data analysis dashboard. The new city analytics dashboard will be based on our experience working with municipalities to crowdsource the logistics of manufacturing businesses to inform infrastructure development. This project will also leverage Sourcemap’s enterprise analytics dashboard, which visualizes aggregate supply chain data across thousands of products and companies, as the basis for the project’s community moderation and business directory/GIS analysis dashboard. (http://blog.sourcemap.com/about/knight/ )","We will build social networking features for community moderation, online feeds of city and real estate data, and add city-specific features to Sourcemap’s crowdsourced business directory and supply chain/GIS dashboard. We will hold co-design meetings, develop training materials and conduct workshops open to stakeholders and the public.","The platform will be free for businesses and residents contributing information, and embeddable directories of Chicago industries will be made available on the web through sourcemap.com. The city and other development organizations will pay a yearly subscription to maintain the analytics and community moderation dashboard."
Orange County Local Empowerment Project,http://newschallenge.tumblr.com/post/25599810821/orange-county-local-empowerment-project,,"Enable residents to track local elected officials’ campaign coffers, voting records, public calendars and conflicts of interest filings in real-time.","While there are a lot of documents that can help city residents get a sense of how their local government is working for, or against them, they typically can’t access them electronically. Publishing this kind of data would revolutionize local politics by giving residents access to information in real-time.",Congressional representatives are currently the only public officials covered by real-time tracking of votes and campaign finance.,"This system of document and vote tracking already exists on the national level at organizations like Congressional Quarterly and the Center for Public Integrity. Voice of OC has already demonstrated a deep need and interest for government news in Orange County (given two major newspapers in bankruptcy proceedings and no broadcast outlet). With a readership of 60,000 unique visitors a month, our newsroom covering local government and politics has found a strong audience that consistently tells us they want more actionable intel on their local governments.","  Voice of OC Editor Norberto Santana has direct experience in tracking such government information, as a former reporter with Congressional Quarterly in Washington, D.C. He also has two decades of experience covering local government across the region and is in a key position to understand how to track local votes and translate campaign finance filings.","The Voice of OC brand has already been established with more than two years ongoing of publication and a readership of 60,000 unique visitors. Our website has already become a central site for information about local governments in Orange County.",We would use the News Challenge funds to hire apprentice reporters to track city council meetings across the region as well as collect and upload campaign finance and conflict of interest documents. We also would hire a webmaster that would help in assembling the premium content portion of our website to showcase the information in city pages.,"The Local Empowerment Project would form the beginnings of our premium content section of our website, which would be expected to provide an ongoing revenue base as members would pay an additional fee for detailed information about local officials’ voting records, conflicts of interests and public calendars."
